"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Astragalus pycnostachyus var. lanosissimus","Ventura marsh milk-vetch","Fabaceae","perennial herb","1B.1","G2T1","S1","CE","FE","(Jun)Aug-Oct","Coastal dunes, Coastal scrub, Marshes and swamps (edges, coastal salt or brackish)","","1","0","35","115","T","","LAX, ORA, SBA, VEN","Seal Beach (3311861), Venice (3311884), Hollywood (3411813), Topanga (3411815), Oxnard (3411922), Ventura (3411933)","7","0","0","0","1","6","0","6","1","1","3","3","Rediscovered near Oxnard in 1997.  Experimental reintroduction work underway as of 2003.  Threatened by development, herbivory, cucumber mosaic virus, non-native plants, and hydrological alterations.  See North American Flora 24:357-358 (1929) for original description, and Memoirs of the New York Botanical Garden 13:813 (1964) for taxonomic treatment.","Astragalus pycnostachyus Gray var. lanosissimus (Rydb.) Munz & McBurn.","","PDFAB0F7B1","ASPYL","","","1974-01-01","","2019-04-17",
"Atriplex coulteri","Coulter's saltbush","Chenopodiaceae","perennial herb","1B.2","G3","S1S2","None","None","Mar-Oct","Coastal bluff scrub, Coastal dunes, Coastal scrub, Valley and foothill grassland","alkaline or clay","3","5","460","1510","F","BA","ANA, LAX, ORA, SBA, SBD, SCM, SCT, SCZ, SDG, SLO, SMI, SNI, SRO, VEN","Otay Mesa (3211658), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Poway (3211781), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), San Pasqual (3311618), Mesa Grande (3311627), Palomar Observatory (3311637), Rancho Santa Fe (3311712), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Tustin (3311767), Newport Beach (3311768), Prado Dam (3311786), Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Long Beach (3311872), Redondo Beach (3311874), Inglewood (3311883), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island East (3311988), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Santa Rosa Island West (3312082), San Miguel Island East (3312083), San Miguel Island West (3312084), Beverly Hills (3411814), Malibu Beach (3411816), Point Dume (3411817), Ventura (3411933), Carpinteria (3411945), Santa Barbara (3411946), Goleta (3411947), Point Conception (3412044), Lompoc Hills (3412054), Port San Luis (3512027), Morro Bay South (3512037)","121","0","2","5","2","4","108","64","57","117","1","3","Few recent sightings.  Reports from Riverside Co. are likely misidentified.  Threatened by development, and probably by feral herbivores.","Atriplex coulteri (Moq.) D. Dietr.","","PDCHE040E0","ATCO5","","","1994-01-01","","2010-03-15",
"Atriplex pacifica","South Coast saltscale","Chenopodiaceae","annual herb","1B.2","G4","S2","None","None","Mar-Oct","Coastal bluff scrub, Coastal dunes, Coastal scrub, Playas","","0","0","140","460","F","AZ, BA, SO","ANA, LAX, ORA, RIV, SBA, SCM, SCT, SCZ, SDG, SNI, SRO, VEN","Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Poway (3211781), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), Rancho Santa Fe (3311712), Encinitas (3311713), San Luis Rey (3311723), Morro Hill (3311733), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), Laguna Beach (3311757), Winchester (3311761), Tustin (3311767), Newport Beach (3311768), Lakeview (3311771), Perris (3311772), Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Barbara Island (3311848), San Pedro (3311863), Redondo Beach (3311874), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island South (3312071), Beverly Hills (3411814), Ventura (3411933), Point Conception (3412044)","109","0","2","7","2","3","95","43","66","106","2","1","Appears rare throughout range.  Many known occurrences extirpated; need information.  Most Channel Islands contain only a few occurrences each.  Need quads for SCM and SRO islands.  Greatly reduced by urbanization on mainland.  See Proceedings of the Biological Society of Washington 17:99 (1904) for original description.","Atriplex pacifica A. Nels.","","PDCHE041C0","ATPA","","","1994-01-01","","2010-03-15",
"Atriplex serenana var. davidsonii","Davidson's saltscale","Chenopodiaceae","annual herb","1B.2","G5T1","S1","None","None","Apr-Oct","Coastal bluff scrub, Coastal scrub","alkaline","10","30","200","655","F","BA","LAX, ORA, RIV, SBA, SCT, SCZ, SDG, SLO, SRO, VEN","Laguna Beach (3311757), Winchester (3311761), Tustin (3311767), Newport Beach (3311768), Lakeview (3311771), Perris (3311772), El Casco (3311781), Yorba Linda (3311787), Santa Catalina East (3311833), Seal Beach (3311861), San Pedro (3311863), Santa Cruz Island C (3311985), Santa Rosa Island South (3312071), Los Angeles (3411812), Hollywood (3411813), Malibu Beach (3411816), Oxnard (3411922), Ojai (3411942), Santa Barbara (3411946), Goleta (3411947), Gaviota (3412042), Zaca Creek (3412062), Guadalupe (3412085)","27","0","2","1","1","4","19","17","10","23","4","0","Is plant extirpated from LAX Co.?  Known from SCZ Isl. From a single collection in 1930.  Need quads for SDG Co. and SCT and SRO islands.  See North American Flora 21:57 (1916) for original description.","Atriplex serenana A. Nels. var. davidsonii (Standl.) Munz","","PDCHE041T1","ATSED","","","1994-01-01","","2014-01-03",
"Baccharis malibuensis","Malibu baccharis","Asteraceae","perennial deciduous shrub","1B.1","G1","S1","None","None","Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","","150","490","305","1000","T","","LAX, ORA, VEN","Black Star Canyon (3311776), Malibu Beach (3411816), Point Dume (3411817), Thousand Oaks (3411827)","13","0","1","1","0","0","11","5","8","13","0","0","Threatened by urbanization and recreational activities.  Not in The Jepson Manual.  See Aliso 14(3):202 (1995) for original description.","Baccharis malibuensis Beauchamp & Henrickson","","PDAST0W0W0","BAMA13","","","2001-01-01","","2019-04-17",
"Baccharis plummerae ssp. plummerae","Plummer's baccharis","Asteraceae","perennial deciduous shrub","4.3","G3T3","S3","None","None","May,Aug,Sep,Oct","Broadleafed upland forest, Chaparral, Cismontane woodland, Coastal scrub","rocky","5","15","425","1395","T","","ANA, LAX, SBA, SCZ, SLO, VEN","Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Ojai (3411942)","","","","","","","","","","","","","Threatened by development, and by feral animals on SCZ Isl.","Baccharis plummerae Gray ssp. plummerae","","PDAST0W0D2","BAPLP","","","1980-01-01","","2010-03-15",
"Calandrinia breweri","Brewer's calandrinia","Montiaceae","annual herb","4.2","G4","S4","None","None","(Jan)Mar-Jun","Chaparral, Coastal scrub","sandy or loamy, disturbed sites and burns","10","30","1220","4005","F","BA","CCA, LAX, MEN, MNT, MPA, MRN, NAP, ORA, RIV, SBA, SBD, SCL, SCR, SCZ, SDG, SHA, SLO, SMT, SON, SRO, VEN","Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Poway (3211781), Vail Lake (3311648), Black Star Canyon (3311776), Santa Rosa Island North (3312081), Topanga (3411815), Matilija (3411943), Goleta (3411947), Santa Ynez (3412051), Pismo Beach (3512026), Villa Creek (3512174), Cape San Martin (3512184), Bear Canyon (3612113), Partington Ridge (3612126), Coulterville (3712062), Laurel (3712118), Antioch South (3712187), Clayton (3712188), Cupertino (3712231), Mindego Hill (3712232), Palo Alto (3712242), Woodside (3712243), San Rafael (3712285), Clarksville (3812161), Mt. George (3812232), Napa (3812233), Kenwood (3812245)","","","","","","","","","","","","","Potentially threatened by development.  Possibly threatened by fire suppression and road maintenance.  Plant appears to be widely scattered but uncommon everywhere, and most collections are old; needs field surveys.  See Proceedings of the American Academy of Arts and Sciences 11:124 (1876) for original description.","Calandrinia breweri Wats.","","PDPOR01020","CABR3","","","1994-01-01","","2015-07-24",
"Calochortus catalinae","Catalina mariposa lily","Liliaceae","perennial bulbiferous herb","4.2","G3G4","S3S4","None","None","(Feb)Mar-Jun","Chaparral, Cismontane woodland, Coastal scrub, Valley and foothill grassland","","15","45","700","2295","T","","LAX, ORA, SBA, SBD, SCT, SCZ, SDG, SRO, VEN","Wildomar (3311753), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Santiago Peak (3311765), El Toro (3311766), Tustin (3311767), Corona South (3311775), Black Star Canyon (3311776), Orange (3311777), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), San Pedro (3311863), Torrance (3311873), Redondo Beach (3311874), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Guasti (3411715), Ontario (3411716), San Dimas (3411717), San Bernardino North (3411723), Glendora (3411727), El Monte (3411811), Los Angeles (3411812), Hollywood (3411813), Beverly Hills (3411814), Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Canoga Park (3411825), Calabasas (3411826), Thousand Oaks (3411827), Newbury Park (3411828), Sunland (3411833), Santa Susana (3411836), Simi (3411837), Newhall (3411845), Fillmore (3411848), Sleepy Valley (3411853), Point Mugu (3411911), Camarillo (3411921), Santa Paula (3411931), Saticoy (3411932), Ventura (3411933), Santa Paula Peak (3411941), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Goleta (3411947), Wheeler Springs (3411953), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Rancho Nuevo Creek (3411964), Figueroa Mtn. (3411968), Sacate (3412043), Santa Ynez (3412051), Solvang (3412052), Los Olivos (3412061), Zaca Lake (3412071)","","","","","","","","","","","","","Threatened by development.","Calochortus catalinae Wats.","","PMLIL0D080","CACA5","","","1974-01-01","","2010-03-15",
"Calochortus clavatus var. clavatus","club-haired mariposa lily","Liliaceae","perennial bulbiferous herb","4.3","G4T3","S3","None","None","(Mar)May-Jun","Chaparral, Cismontane woodland, Coastal scrub, Valley and foothill grassland","usually serpentinite, clay, rocky","75","245","1300","4265","T","","LAX, SBA, SBT, SLO, VEN","Thousand Oaks (3411827), Newbury Park (3411828), Moorpark (3411838), Agua Dulce (3411843), Newhall (3411845), Whitaker Peak (3411856), Ojai (3411942), Matilija (3411943), Sawmill Mountain (3411972), Los Olivos (3412061), Caliente Mtn. (3511917), Pismo Beach (3512026), Lopez Mtn. (3512035), San Luis Obispo (3512036), Morro Bay South (3512037), Pebblestone Shut-in (3512161), Idria (3612046), Panoche (3612057)","","","","","","","","","","","","","","Calochortus clavatus Wats. var. clavatus","","PMLIL0D091","CACLC2","","","1974-01-01","","2010-03-15",
"Calochortus clavatus var. gracilis","slender mariposa lily","Liliaceae","perennial bulbiferous herb","1B.2","G4T2T3","S2S3","None","None","Mar-Jun(Nov)","Chaparral, Coastal scrub, Valley and foothill grassland","","320","1045","1000","3280","T","","LAX, VEN","Mt. Baldy (3411726), Glendora (3411727), Azusa (3411728), Crystal Lake (3411737), Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Burbank (3411823), Calabasas (3411826), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Agua Dulce (3411843), Mint Canyon (3411844), Newhall (3411845), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Acton (3411846), Piru (3411847), Sleepy Valley (3411853), Green Valley (3411854), Warm Springs Mountain (3411855), Whitaker Peak (3411856), Lake Hughes (3411864), Liebre Mtn. (3411866), Black Mtn. (3411867)","143","7","33","28","9","3","63","13","130","140","0","3","Threatened by development, mining, non-native plants, and vehicles.  Possibly threatened by foot traffic.  See Annals of the Missouri Botanical Garden 27(4):371-561 (1940) for original description.","Calochortus clavatus Wats. var. gracilis Ownbey","","PMLIL0D096","CACLG","","","1994-01-01","","2015-01-07",
"Calochortus fimbriatus","late-flowered mariposa lily","Liliaceae","perennial bulbiferous herb","1B.3","G3","S3","None","None","Jun-Aug","Chaparral, Cismontane woodland, Riparian woodland","often serpentinite","275","900","1905","6250","T","","KRN, LAX, MNT, SBA, SLO, VEN","Santa Susana (3411836), Fillmore (3411848), Black Mtn. (3411867), Ventura (3411933), Santa Paula Peak (3411941), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Goleta (3411947), Lion Canyon (3411952), Wheeler Springs (3411953), Old Man Mountain (3411954), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Lake Cachuma (3411958), Sawmill Mountain (3411972), New Cuyama (3411986), Sacate (3412043), Santa Ynez (3412051), Solvang (3412052), Santa Rosa Hills (3412053), Pebblestone Shut-in (3512161), Burnett Peak (3512172), Burro Mountain (3512173), Villa Creek (3512174), Alder Peak (3512183), Cape San Martin (3512184)","93","2","26","7","5","0","53","28","65","93","0","0","Threatened by grazing, development, road maintenance, and fire suppression.  See Proceedings of the California Academy of Sciences III 2:133 (1901) for original description.","Calochortus fimbriatus H.P. McDonald","Calochortus weedii var. vestus","PMLIL0D1J2","","","","1994-01-01","","2012-10-26",
"Calochortus palmeri var. palmeri","Palmer's mariposa lily","Liliaceae","perennial bulbiferous herb","1B.2","G3T2","S2","None","None","Apr-Jul","Chaparral, Lower montane coniferous forest, Meadows and seeps","mesic","710","2325","2390","7840","T","","KRN, LAX, RIV, SBA, SBD, SLO, VEN","Toro Peak (3311654), Butterfly Peak (3311655), Beaumont (3311688), San Gorgonio Mtn. (3411617), Rimrock (3411625), Onyx Peak (3411626), Moonridge (3411627), Big Bear Lake (3411628), Big Bear City (3411637), Fawnskin (3411638), Keller Peak (3411721), Harrison Mtn. (3411722), San Bernardino North (3411723), Butler Peak (3411731), Lake Arrowhead (3411732), Silverwood Lake (3411733), Cajon (3411734), Valyermo (3411747), Juniper Hills (3411748), Chilao Flat (3411831), Condor Peak (3411832), Mint Canyon (3411844), Newhall (3411845), Sleepy Valley (3411853), Green Valley (3411854), Alamo Mountain (3411868), La Liebre Ranch (3411876), Lebec (3411877), Frazier Mtn. (3411878), Winters Ridge (3411886), Carpinteria (3411945), Topatopa Mountains (3411951), Lion Canyon (3411952), Wheeler Springs (3411953), San Rafael Mtn. (3411967), Figueroa Mtn. (3411968), Cuddy Valley (3411971), Hurricane Deck (3411977), Tehachapi South (3511814), Tehachapi NE (3511823), Tehachapi North (3511824), Arvin (3511827), Claraville (3511843), Piute Peak (3511844), Breckenridge Mtn. (3511845), Woolstalf Creek (3511853), Lake Isabella South (3511854), Lake Isabella North (3511864), Kernville (3511874), Los Machos Hills (3512022), Caldwell Mesa (3512023), La Panza (3512032), Pozo Summit (3512033), Camatta Canyon (3512053)","111","12","16","12","0","0","71","27","84","111","0","0","Threatened by development, grazing, non-native plants, recreational activities, and vehicles.  See Proceedings of the American Academy of Arts and Sciences 14:266 (1879) for original description, and Annals of the Missouri Botanical Garden 27:459 (1940) for taxonomic treatment.","Calochortus palmeri Wats. var. palmeri","","PMLIL0D122","CAPAP4","","","1994-01-01","","2014-07-30",
"Calochortus plummerae","Plummer's mariposa lily","Liliaceae","perennial bulbiferous herb","4.2","G4","S4","None","None","May-Jul","Chaparral, Cismontane woodland, Coastal scrub, Lower montane coniferous forest, Valley and foothill grassland","granitic, rocky","100","325","1700","5575","T","","LAX, ORA, RIV, SBD, VEN","Idyllwild (3311666), Blackburn Canyon (3311667), Lake Fulmor (3311677), San Jacinto (3311678), Cabazon (3311687), Beaumont (3311688), Bachelor Mtn. (3311751), Sitton Peak (3311754), Lake Elsinore (3311763), Corona South (3311775), Black Star Canyon (3311776), El Casco (3311781), Sunnymead (3311782), Riverside East (3311783), Riverside West (3311784), La Habra (3311788), Whittier (3311881), San Gorgonio Mtn. (3411617), Forest Falls (3411618), Moonridge (3411627), Big Bear Lake (3411628), Big Bear City (3411637), Yucaipa (3411711), Redlands (3411712), Fontana (3411714), Ontario (3411716), San Dimas (3411717), Baldwin Park (3411718), Keller Peak (3411721), Harrison Mtn. (3411722), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Mt. Baldy (3411726), Glendora (3411727), Azusa (3411728), Silverwood Lake (3411733), Cajon (3411734), Telegraph Peak (3411735), Mount San Antonio (3411736), Crystal Lake (3411737), Fifteenmile Valley (3411741), El Monte (3411811), Los Angeles (3411812), Hollywood (3411813), Beverly Hills (3411814), Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Mt. Wilson (3411821), Pasadena (3411822), Burbank (3411823), Van Nuys (3411824), Canoga Park (3411825), Calabasas (3411826), Thousand Oaks (3411827), Newbury Park (3411828), Chilao Flat (3411831), Condor Peak (3411832), Sunland (3411833), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Simi (3411837), Moorpark (3411838), Agua Dulce (3411843), Newhall (3411845), Camarillo (3411921), Ojai (3411942)","230","4","37","25","12","8","144","71","159","222","7","1","Previously on List 1B.2; more common than originally known. Threatened by development, fire suppression, foot traffic, mining, powerline construction, and recreational activities. Possibly threatened by vegetation clearing, collecting, road maintenance, and non-native plants. Less common at higher elevations. Hybridizes with C. weedii var. intermedius. See Pittonia 2:70 (1890) for original description, and Annals of the Missouri Botanical Garden 27:515 (1940) for taxonomic treatment.","Calochortus plummerae Greene","","PMLIL0D150","CAPL2","","","1994-01-01","","2017-10-02",
